+----------------+-------------------------+-----------+--------------+-------------+
|   ЛИТКОР-З_газ | №партии                 |   к стали |   с подплавл |   в нахлест |
|            326 | п010217                 |      28.9 |         27.3 |        29.3 |
|            327 | п010217                 |      28.4 |         28.1 |        30   |
|            328 | п010217                 |      27.9 |         27   |        28.7 |
|            329 | п010217                 |      29.1 |         28.3 |        28.9 |
|            330 | п010217                 |      28.9 |         28   |        27.5 |
|            331 | п010217                 |      28.5 |         27.4 |        28.6 |
|            332 | п010217                 |      29.5 |         28.7 |        30   |
|            333 | п010217                 |      28.9 |         28.8 |        28.3 |
|            334 | п010217                 |      29.8 |         28.3 |        30.4 |
|            335 | п010217                 |      28.7 |         28   |        29.1 |
|            336 | п010217                 |      27.9 |         26.9 |        27.3 |
|            337 | п010217                 |      28.7 |         28.1 |        27.5 |
|            338 | п110317                 |      28.8 |         27.7 |        28.4 |
|            339 | п110317                 |      29.4 |         28.3 |        29.7 |
|            340 | п110317                 |      28.7 |         28.3 |        28.9 |
|            341 | п130517                 |      29.7 |         28   |        28.3 |
|            342 | п130517                 |      29.4 |         28.2 |        29.1 |
|            343 | п060717                 |      28.9 |         27.5 |        29   |
|            344 | п010817                 |      30.4 |         28.8 |        29.6 |
|            345 | п140817                 |      29.8 |         28.4 |        30   |
|            346 | п060917                 |      31.6 |         30.9 |        31.2 |
|            347 | п070917                 |      32.9 |         31.8 |        32.1 |
|            348 | п060917                 |      30.1 |         29.6 |        29.8 |
|            349 | п070917                 |      29.6 |         28.3 |        28.5 |
|            350 | п060917                 |      29.2 |         27.9 |        28.5 |
|            351 | п070917                 |      32   |         31.2 |        32.8 |
|            352 | п071017                 |      30.9 |         29.7 |        31.1 |
|            353 | п071017                 |      28.5 |         26   |        16.1 |
|            354 | п011117                 |      30.4 |         29.5 |        19.8 |
|            355 | п021117                 |      31.2 |         29.8 |        20   |
|            356 | п011117                 |      29.4 |         28.8 |        16   |
|            357 | п021117                 |      32   |         29.6 |        16.9 |
|            358 | п011117                 |      28.5 |         26.4 |        16.1 |
|            359 | п011117                 |      29.1 |         28   |        15.2 |
|            360 | п021117                 |      30.9 |         28.9 |        16.8 |
|            361 | п051217                 |      28.4 |         27.3 |        28   |
|            362 | п061217                 |      30   |         29.1 |        30.3 |
|            363 | п051217                 |      28   |         27.1 |        27.6 |
|            364 | п061217                 |      30.4 |         29.1 |        29.7 |
|            365 | п051217                 |      27.9 |         26.1 |        25.6 |
|            366 | п051217                 |      28.1 |         25.6 |        26.1 |
|            367 | п061217                 |      30.3 |         26.9 |        28   |
|            368 | п051217                 |      28.4 |         25.5 |        28   |
|            369 | п010118                 |      28.9 |         28.4 |        18.4 |
|            370 | п010118                 |      28.7 |         26.9 |        23.8 |
|            371 | п010118                 |      28.8 |         27.2 |        24.1 |
|            372 | п050118                 |      30.9 |         28.3 |        27   |
|            373 | п090218                 |      31.9 |         30.7 |        32   |
|            374 | п070318                 |      32.1 |         31.4 |        32.3 |
|            375 | п130418                 |      30.4 |         28.8 |        29.6 |
|            376 | п130418                 |      31.4 |         30.7 |        31.5 |
|            377 | п120518                 |      30.8 |         29.8 |        30.4 |
|            378 | п090718                 |      30.2 |         28.9 |        30.6 |
|            379 | п040818                 |      29.8 |         28.3 |        28.8 |
|            380 | п040818                 |      31.8 |         31   |        31.6 |
|            381 | п150818                 |      29.6 |         28.8 |        28.3 |
|            382 | п150818                 |      27.7 |         26.8 |        27.3 |
|            383 | п070918                 |      40   |         39.3 |        39.8 |
|            384 | п080918                 |      38.7 |         38.1 |        38.9 |
|            385 | п080918                 |      49.8 |         49.3 |        50   |
|            386 | п080918                 |      40   |         39.8 |        40.8 |
|            387 | п070918                 |      29   |         28.1 |        28.7 |
|            388 | п071018                 |      28.5 |         27.7 |        28.1 |
|            389 | п071018                 |      27.9 |         27.7 |        28.2 |
|            390 | п071018                 |      28.2 |         28   |        28.8 |
|            391 | п071018                 |      29.9 |         28.6 |        29.7 |
|            392 | п071018                 |      27.8 |         27.5 |        27.7 |
|            393 | п041118                 |      28.2 |         27.7 |        28   |
|            394 | п051118                 |      29.7 |         29   |        29.9 |
|            395 | п041118                 |      28.5 |         27.6 |        28.9 |
|            396 | п051118                 |      30   |         29.1 |        30.3 |
|            397 | п041118                 |      28.4 |         29.2 |        30   |
|            398 | п051118                 |      29.8 |         29.2 |        28.3 |
|            399 | п011218                 |      28.4 |         27.5 |        28.8 |
|            400 | п011218                 |      30   |         29.8 |        30.3 |
|            401 | п011218                 |      28.9 |         27.6 |        29.5 |
|            402 | п011218                 |      28.7 |         27.7 |        28.9 |
|            403 | п011218                 |      28.8 |         28   |        28.4 |
|            404 | п011218                 |      29.7 |         28.5 |        30.1 |
|            405 | п111218                 |      30.8 |         29.8 |        31   |
|            406 | п111218                 |      30.8 |         30.1 |        31.6 |
|            407 | п011218                 |      28.9 |         27.9 |        28.5 |
|            408 | п111218                 |      30.9 |         29.9 |        31.2 |
|            409 | п011218                 |      28.2 |         27.1 |        27.9 |
|            410 | п040119(15.01.19)       |      30.3 |         29.5 |        30.5 |
|            411 | п080319(14.03.19)       |      31.9 |         31.2 |        32.4 |
|            412 | п070419(08.04.19)       |      29.8 |         29.4 |        30   |
|            413 | п060519(05.05.19)       |      29.1 |         28.4 |        28.8 |
|            414 | п120519(16.05.19)       |      28.9 |         28.1 |        29.3 |
|            415 | п120519(29.05.19)       |      29.3 |         28.6 |        28.5 |
|            416 | п090719(12.07.19)       |      29.5 |         28.6 |        30   |
|            417 | п020819(05.08.19)       |      29.6 |         29.1 |        30   |
|            418 | п020819(29.08.19)       |      30.4 |         29   |        29.8 |
|            419 | п080919(13.09.19)       |      29.2 |         28.8 |        29.9 |
|            420 | п090919(13.09.19)       |      31.9 |         31.1 |        32.3 |
|            421 | п080919(16.09.19)       |      27.9 |         27.3 |        28.2 |
